Name,Location,Rating,Contact
Rejeuvine MedSpa,"The Forum In Carlsbad, Carlsbad, CA, 92009",4.5,+17607535757
Mint Skin,"285 N El Camino Real, Encinitas, CA, 92024",5.0,+16197268147
Aesthetically Pleasing Medical Spa,"285 N El Camino Real, Encinitas, CA, 92024",5.0,+17604368400
Pash Skin Studio,"2917 State St, Carlsbad, CA, 92008",5.0,+17607772994
skinBLISS,"7220 Avenida Encinas, Carlsbad, CA, 92011",4.5,+17603313746
Beauty Lounge Permanent Makeup & Med Spa,"576 E Mission Rd, San Marcos, CA, 92069",4.5,+17608778747
Peel Simply Skin,"4642 30th St, San Diego, CA, 92116",5.0,+16195640669
Waxology,"555 Beech St, Carlsbad, CA, 92008",5.0,+18582129200
SKIN,"10330 Friars Rd, San Diego, CA, 92120",5.0,+16193810011
Just Skin,"171 Saxony Rd, Encinitas, CA, 92024",4.5,+17609422991
Surface Esthetics,"12702 Via Cortina, Del Mar, CA, 92014",5.0,+18584720083
SKIN in The Ranch,"16921 Via De Santa Fe, Rancho Santa Fe, CA, 92067",5.0,+16193810011
Eden Esthetics,"437 S Hwy 101, Solana Beach, CA, 92075",5.0,+17608155594
SDIM & Spa,"12285 Scripps Poway Pkwy, Poway, CA, 92064",5.0,+18582083676
Skin and Tonique,"300 S Escondido Blvd, Escondido, CA, 92025",5.0,+17604984493
Good Skin Society,"250 E Grand Ave, Escondido, CA, 92025",5.0,+13232095669
Seaside Skin Care,"1401 N El Camino Real, San Clemente, CA, 92672",5.0,+19492762777
Alexis K,"344 S Cedros Ave, Solana Beach, CA, 92075",4.5,+18582597779
Executive Medical,"1537 Grand Ave, San Marcos, CA, 92078",4.5,+17602903552
Lashes to Lashes,"2690 Via De La Valle, Del Mar, CA, 92014",5.0,+18588883231
Elena T Beauty,"12264 El Camino Real, San Diego, CA, 92130",5.0,+18584371845
Skin and Brows By Tina,"12264 El Camino Real, San Diego, CA, 92130",5.0,+18584498811
Shanna Fae Skin Care,"12245 World Trade Dr, San Diego, CA, 92128",5.0,+16198232900
Del Mar Aesthetic Clinic,"13983 Mango Dr, Del Mar, CA, 92014",4.5,+18582594772
Doris Dean Skin Boutique,"301 N Hwy 101, Solana Beach, CA, 92075",5.0,+18588473223
Skin Rejuvenation Center,"2002 Jimmy Durante Blvd, Del Mar, CA, 92014",5.0,+18587556351
Browtique,"6105 Paseo Delicias, Rancho Santa Fe, CA, 92067",4.5,+18587561334
Bloom Spa & Salon,"10175 Rancho Carmel Dr, San Diego, CA, 92128",5.0,+18587985177
​​​Flutter Lash & Skin Studio,"7130 Aveneda Encinas, Carlsbad, CA, 92011",4.5,+17604485008
T-ology Beauty,"2002 Jimmy Durante Blvd, Del Mar, CA, 92014",5.0,+18583331910
Tina Marie Skincare at True Beauty,"7746 Herschel Ave, La Jolla, CA, 92037",5.0,+18584547546
Lanoi Cosmetic Dermatology,"6605 Nancy Ridge Dr, San Diego, CA, 92121",5.0,+18589002747
Jillena Greer - True Beauty,"7746 Herschel Ave, La Jolla, CA, 92037",5.0,+16198049833
ChanteLashes,"915 Camino del Mar, Del Mar, CA, 92014",5.0,+18583148440
Torrey Pines Dermatology,"9850 Genesee Ave, La Jolla, CA, 92037",4.0,+18583628800
Neu Look Med Spa & Skin Center,"7805 Highlands Village Pl, San Diego, CA, 92129",4.0,+18585385665
Releaf Spa,"2121 Newcastle Ave, Cardiff-by-the-Sea, CA, 92007",5.0,+17604522530
Facesplus,"4510 Executive Dr, San Diego, CA, 92121",4.0,+18584537224
Your Acne Solutions,"4760 Pavlov Avenue, San Diego, CA, 92122",5.0,+18056305805
Skinfinite,"3023 Bunker Hill St, San Diego, CA, 92109",5.0,+16198865404
Alexus Surgery Center & Medspa,"5720 Oberlin Dr, San Diego, CA, 92121",5.0,+18584557557
Purskin Clinical Aesthetics,"3007 Clairemont Dr, San Diego, CA, 92117",5.0,+19496369771
True Beauty San Diego Aesthetic Surgery & Medicine,"7746 Herschel Ave, La Jolla, CA, 92037",4.5,+18584547546
Belladerma Cosmetic Surgery & Skin Care Center,"3655 Nobel Dr, San Diego, CA, 92122",4.5,+18582616900
Beauty by Hannah Lebron,"8875 La Mesa Blvd, La Mesa, CA, 91942",5.0,+16192083212
"Jodi Sawyer, RN","11515 El Camino Real, San Diego, CA, 92130",4.0,+17605052050
MediLux Esthetics,", San Diego, CA, 92027",5.0,+17602705862
Love Your Skin,"152 W Park Ave, El Cajon, CA, 92020",5.0,+16192543189
Waves Beyond Skin Care,"215 Avenida Del Mar, San Clemente, CA, 92672",5.0,+19493611661
